,f1,f2,f3,f4,f5,Disease
0,0.154840488,0.021583581,7.72438177,0.900965265,124.8570233,Acne and Rosacea Photos
1,0.149524776,0.018387488,9.599773615,0.8453503,237.7979468,Acne and Rosacea Photos
2,0.13110588,0.019639063,10.10512523,0.807185522,232.2911846,Acne and Rosacea Photos
3,0.134504345,0.024917854,8.686714985,0.806238819,174.4605301,Acne and Rosacea Photos
4,0.192216425,0.035521064,7.134986052,0.956440292,133.2630319,Acne and Rosacea Photos
5,0.255883947,0.029531394,5.015949287,0.963147486,68.88766151,Acne and Rosacea Photos
6,0.206012626,0.034265801,7.225050714,0.982367762,120.195705,Acne and Rosacea Photos
7,0.19045306,0.021015369,7.187126412,0.918311029,147.3076835,Acne and Rosacea Photos
8,0.304030241,0.122170597,8.867447104,0.951313269,284.5120179,Acne and Rosacea Photos
9,0.18290904,0.024240017,11.77750723,0.956894745,352.416763,Acne and Rosacea Photos
10,0.237976503,0.038231732,9.610090268,0.963214725,253.2559292,Acne and Rosacea Photos
11,0.346128348,0.223350843,6.266496579,0.951715334,112.6579342,Acne and Rosacea Photos
12,0.236714222,0.029340749,5.473299033,0.926711652,75.09483979,Acne and Rosacea Photos
13,0.111474812,0.015519963,10.389357,0.906923179,225.5443133,Acne and Rosacea Photos
14,0.167625281,0.020674341,7.110448105,0.930723243,113.3528779,Acne and Rosacea Photos
15,0.102063361,0.014226298,11.96989212,0.895097836,316.4183469,Acne and Rosacea Photos
16,0.174570171,0.02918372,11.57319644,0.944829601,320.9912229,Acne and Rosacea Photos
17,0.169029124,0.027609143,11.55768427,0.948120979,321.8015484,Acne and Rosacea Photos
18,0.12811184,0.018002753,11.20507545,0.922230356,285.1971407,Acne and Rosacea Photos
19,0.183691956,0.040679239,12.31410026,0.930467546,399.6513779,Acne and Rosacea Photos
20,0.187764159,0.034302894,10.38828717,0.947224828,280.5042845,Acne and Rosacea Photos
21,0.10406537,0.018806557,11.52930387,0.70087842,259.9340027,Acne and Rosacea Photos
22,0.08993927,0.019721025,16.06133454,0.752141494,510.2767348,Acne and Rosacea Photos
23,0.179005775,0.031403111,10.63773165,0.945661547,260.3527048,Acne and Rosacea Photos
24,0.165196469,0.024008901,7.557994608,0.916888945,129.7192703,Acne and Rosacea Photos
25,0.104625285,0.015410883,11.91319677,0.811133628,298.537848,Acne and Rosacea Photos
26,0.156145407,0.022389588,7.871635556,0.8949786,143.9345485,Acne and Rosacea Photos
27,0.133781886,0.02284046,8.623038987,0.800509212,151.8715627,Acne and Rosacea Photos
28,0.15164399,0.030009075,9.06293467,0.925926976,196.6448665,Acne and Rosacea Photos
29,0.191022021,0.026458807,6.113154303,0.880784803,85.71525379,Acne and Rosacea Photos
30,0.148965612,0.020420367,8.262901496,0.895596559,144.2568918,Acne and Rosacea Photos
31,0.174704554,0.021484273,7.791681909,0.925394852,133.9590839,Acne and Rosacea Photos
32,0.137352844,0.015182049,9.532005905,0.933334867,189.0339351,Acne and Rosacea Photos
33,0.149375655,0.020366851,8.214585427,0.900521098,144.2163133,Acne and Rosacea Photos
34,0.09310323,0.013387497,13.99561552,0.838385048,418.4360318,Acne and Rosacea Photos
35,0.102621265,0.013308416,11.83259359,0.893928793,302.841319,Acne and Rosacea Photos
36,0.090164103,0.016973241,12.78987341,0.656798706,302.4561412,Acne and Rosacea Photos
37,0.123910332,0.017526999,10.79762446,0.871022134,290.3946998,Acne and Rosacea Photos
38,0.130221911,0.015454058,10.33272529,0.909265066,240.2681812,Acne and Rosacea Photos
39,0.131022083,0.017296732,10.3056169,0.889751532,222.3105161,Acne and Rosacea Photos
40,0.160912604,0.018443086,10.05011862,0.900475554,258.1781419,Acne and Rosacea Photos
41,0.39033835,0.126102703,3.042214029,0.989615886,28.30314356,Acne and Rosacea Photos
42,0.134515312,0.016803923,9.077877875,0.912980218,177.2428515,Acne and Rosacea Photos
43,0.111902043,0.013632097,11.55032662,0.909144426,281.3973815,Acne and Rosacea Photos
44,0.195800418,0.032955781,8.655492584,0.971429802,215.0941707,Acne and Rosacea Photos
45,0.141510017,0.01620189,9.898562029,0.937770537,220.0056387,Acne and Rosacea Photos
46,0.120255811,0.013897379,10.33258399,0.932881592,218.4763376,Acne and Rosacea Photos
47,0.129594563,0.015235398,11.32334374,0.894097744,312.9298146,Acne and Rosacea Photos
48,0.154141628,0.01967155,11.68441347,0.831617415,395.2190683,Acne and Rosacea Photos
49,0.240984804,0.02617539,4.774481636,0.971756729,53.68043931,Acne and Rosacea Photos
50,0.284506689,0.033995856,4.458453486,0.994193962,45.23173779,Acne and Rosacea Photos
51,0.155746944,0.01954604,7.252883953,0.954370182,104.2587608,Acne and Rosacea Photos
52,0.111869922,0.026168786,10.58228829,0.469452515,222.4440284,Acne and Rosacea Photos
53,0.242637148,0.029008422,4.303364107,0.961765097,40.05217135,Acne and Rosacea Photos
54,0.244214034,0.022571127,5.159080788,0.977348321,68.76366272,Acne and Rosacea Photos
55,0.297373784,0.029633258,3.270831766,0.988560784,24.09936196,Acne and Rosacea Photos
56,0.104189959,0.0182997,9.709548499,0.846902928,161.6696178,Acne and Rosacea Photos
57,0.082405783,0.013832066,15.65432826,0.673298927,478.7393006,Acne and Rosacea Photos
58,0.072995014,0.017365931,16.38146098,0.353247333,504.3980305,Acne and Rosacea Photos
59,0.082672537,0.012267289,15.76722643,0.787227605,510.1220321,Acne and Rosacea Photos
60,0.081206736,0.012113401,15.15790771,0.823392101,447.423055,Acne and Rosacea Photos
61,0.064887066,0.013634313,17.04490342,0.706268901,520.2413088,Acne and Rosacea Photos
62,0.089751542,0.014441555,12.81597587,0.805680214,306.4262671,Acne and Rosacea Photos
63,0.170879019,0.018789774,7.678173179,0.959610232,139.9067094,Acne and Rosacea Photos
64,0.197680001,0.020781265,6.206176565,0.95867841,89.2350861,Acne and Rosacea Photos
65,0.268692642,0.021155793,4.200084188,0.988425856,41.94120451,Acne and Rosacea Photos
66,0.288914634,0.030285332,4.660929424,0.989882443,71.0811841,Acne and Rosacea Photos
67,0.278981424,0.026264826,3.82055442,0.988372807,39.06578149,Acne and Rosacea Photos
68,0.133502769,0.023866178,9.746639423,0.675888274,244.9530898,Acne and Rosacea Photos
69,0.112463254,0.025303501,14.79744232,0.856604656,475.7464515,Acne and Rosacea Photos
70,0.080092959,0.016987674,15.4942444,0.455736703,461.6833413,Acne and Rosacea Photos
71,0.119050958,0.013836533,10.30839254,0.942845459,210.7380675,Acne and Rosacea Photos
72,0.154163369,0.015634625,9.689005382,0.975249756,199.8846061,Acne and Rosacea Photos
73,0.101316771,0.01459811,11.52708466,0.866937097,271.6839188,Acne and Rosacea Photos
74,0.606861693,0.555858333,5.477339062,0.842555944,142.1557076,Acne and Rosacea Photos
75,0.106499402,0.016032044,12.17608152,0.862534791,317.6604756,Acne and Rosacea Photos
76,0.120267336,0.016552971,11.6429553,0.810571501,298.1904971,Acne and Rosacea Photos
77,0.167796348,0.019664232,8.051388453,0.904576692,158.4473748,Acne and Rosacea Photos
78,0.086200568,0.015294295,14.00194906,0.711599449,374.4785064,Acne and Rosacea Photos
79,0.132635516,0.021334791,10.51141023,0.747884735,239.122023,Acne and Rosacea Photos
80,0.122495016,0.015839194,10.79762948,0.90528966,253.6247027,Acne and Rosacea Photos
81,0.193766193,0.017471115,6.651862727,0.974085823,104.0901601,Acne and Rosacea Photos
82,0.33588442,0.046331946,3.507569578,0.985411439,34.39368464,Acne and Rosacea Photos
83,0.278407882,0.055421147,4.237051463,0.985050026,43.56213264,Acne and Rosacea Photos
84,0.35152614,0.144422922,5.89195517,0.985489427,111.1414082,Acne and Rosacea Photos
85,0.20865644,0.080446619,9.850695186,0.977323356,238.8630972,Acne and Rosacea Photos
86,0.197318818,0.021509603,6.613620855,0.98782494,111.4261544,Acne and Rosacea Photos
87,0.256172361,0.151968668,11.07035595,0.965327717,320.6010229,Acne and Rosacea Photos
88,0.252911257,0.063889219,5.126953317,0.985896988,59.81351564,Acne and Rosacea Photos
89,0.262983017,0.073409094,5.689620293,0.988082703,77.15148306,Acne and Rosacea Photos
90,0.110892531,0.016098992,10.60961809,0.857959069,224.9636957,Acne and Rosacea Photos
91,0.159168678,0.018701203,9.455710743,0.967279523,268.9924145,Acne and Rosacea Photos
92,0.545564416,0.494894439,6.965515172,0.896417676,189.1643017,Acne and Rosacea Photos
93,0.248042182,0.042461132,6.207249787,0.987323846,97.84414523,Acne and Rosacea Photos
94,0.2014902,0.036902131,6.970875717,0.958843964,111.8795369,Acne and Rosacea Photos
95,0.19896651,0.025919584,6.372065535,0.983485236,90.72517289,Acne and Rosacea Photos
96,0.139589277,0.021861903,11.9926903,0.93080752,347.1908752,Acne and Rosacea Photos
97,0.377265879,0.095773713,4.220516312,0.988803849,79.24592923,Acne and Rosacea Photos
98,0.125245455,0.014623126,10.73008541,0.915934,260.1018993,Acne and Rosacea Photos
99,0.142916843,0.020479978,10.52427296,0.922329143,248.9033987,Acne and Rosacea Photos
100,0.111795376,0.018507502,10.39837495,0.800452007,213.9793586,Acne and Rosacea Photos
101,0.291179722,0.1198138,5.62848138,0.989711137,78.35079447,Acne and Rosacea Photos
102,0.253836674,0.076339522,7.041879746,0.946707017,132.5685791,Acne and Rosacea Photos
103,0.1163599,0.01780994,11.33569243,0.928143318,262.8576905,Acne and Rosacea Photos
104,0.082463706,0.011263353,16.03018246,0.8451035,504.3932073,Acne and Rosacea Photos
105,0.154840488,0.021583581,7.72438177,0.900965265,124.8570233,Acne and Rosacea Photos
106,0.148010531,0.016925003,9.43599336,0.910386159,199.8767287,Acne and Rosacea Photos
107,0.225259523,0.056113206,8.255846438,0.968781362,181.6648497,Acne and Rosacea Photos
108,0.144588134,0.017185459,7.661521686,0.945966993,112.4418778,Acne and Rosacea Photos
109,0.209581905,0.022823273,5.112898091,0.964010169,54.66181407,Acne and Rosacea Photos
110,0.14294,0.021102059,7.552044643,0.879136314,112.6221793,Acne and Rosacea Photos
111,0.160074221,0.020008066,7.099460735,0.940308388,102.7905307,Acne and Rosacea Photos
112,0.180332513,0.019718741,8.297182147,0.909633145,174.8204251,Acne and Rosacea Photos
113,0.158744734,0.013911748,7.940225425,0.971801904,143.2420819,Acne and Rosacea Photos
114,0.101812017,0.0160365,12.52510333,0.753279108,323.066713,Acne and Rosacea Photos
115,0.120751966,0.017126381,11.772267,0.785882936,315.4452286,Acne and Rosacea Photos
116,0.140726471,0.015587234,8.831541406,0.95362503,165.0472105,Acne and Rosacea Photos
117,0.104125261,0.01868429,10.91446312,0.78359471,221.5113588,Acne and Rosacea Photos
118,0.169012336,0.016174623,8.284064639,0.975260902,174.2574969,Acne and Rosacea Photos
119,0.125669752,0.018891242,11.09261,0.790013791,354.0721149,Acne and Rosacea Photos
120,0.079491872,0.011872253,16.02878607,0.795167493,597.1201137,Acne and Rosacea Photos
121,0.106203531,0.014682673,11.64751211,0.872440922,270.3639512,Acne and Rosacea Photos
122,0.15965846,0.0197213,8.690592606,0.890448536,225.0874733,Acne and Rosacea Photos
123,0.302905408,0.13346313,6.698256905,0.981621203,123.2858913,Acne and Rosacea Photos
124,0.280356155,0.095356601,6.422300045,0.984820038,109.0865736,Acne and Rosacea Photos
125,0.129811488,0.015950446,11.61439229,0.843439017,381.7206426,Acne and Rosacea Photos
126,0.165486164,0.025276927,9.656541364,0.926248676,270.1553483,Acne and Rosacea Photos
127,0.168754627,0.020593745,7.363317913,0.916002674,117.9163961,Acne and Rosacea Photos
128,0.143348179,0.026990986,12.06093289,0.939012522,343.8653303,Acne and Rosacea Photos
129,0.071854328,0.010763706,17.06153654,0.863051511,544.6142148,Acne and Rosacea Photos
130,0.125340812,0.023054848,12.97710361,0.929723193,388.6401566,Acne and Rosacea Photos
131,0.234708437,0.050981429,9.33492453,0.950169921,259.4817186,Acne and Rosacea Photos
132,0.152461132,0.041826184,11.15008005,0.948378766,263.6558451,Acne and Rosacea Photos
133,0.230406397,0.082004582,10.58818043,0.976745042,300.627014,Acne and Rosacea Photos
134,0.173429409,0.043286353,11.66982085,0.937117431,329.5022319,Acne and Rosacea Photos
135,0.348173273,0.128668096,8.600921408,0.941183576,223.8383539,Acne and Rosacea Photos
136,0.183542115,0.097588,11.57237022,0.916724422,299.1186461,Acne and Rosacea Photos
137,0.29603711,0.117773869,7.128168103,0.986293764,160.4792405,Acne and Rosacea Photos
